14:19:34.959 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_willstratton_graylodgewisdom.htm: null
14:19:40.405 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_deanwareham_deanwareham.htm: null
14:19:44.095 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_hissgoldenmessenger_haw.htm: null
14:19:50.720 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_thegreatamericandesert_carsoncity.htm: null
14:20:11.890 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_ainulindale_nevrast.htm: null
14:20:19.554 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_bellx1_chopchop.htm: null
14:20:25.734 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2011_anniehall.htm: null
14:20:27.551 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_frontierruckus_eternityofdimming.htm: null
14:20:30.778 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_stevegunn_timeoff.htm: null
14:20:31.278 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_elephantmicah_louderthanthou.htm: null
14:20:57.420 INFO  org.phonoteke.AbstractCrawler - Document http://www.ondarock.it/recensioni/2016_villagers_wherehaveyoubeen.htm added into DOCUMENT
14:21:05.016 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/songwriter/paulsimon.htm: null
14:21:05.808 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/popmuzik/monorail.htm: null
14:21:14.013 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_guidedbyvoices.htm: null
14:21:15.521 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_liamsinger_arciris.htm: null
14:21:37.232 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_grasshouse_asunfull.htm: null
14:21:38.121 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_unepassante_nodrama.htm: null
14:21:38.335 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_honeybird_youshouldreproduce.htm: null
14:21:39.868 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2012_criminaljokers_bestie.htm: null
14:21:41.210 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_datura4_demonblues.htm: null
14:21:44.995 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_oceancolourscene_painting.htm: null
14:21:46.687 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_vessel_ledifese.htm: null
14:21:49.837 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_tribunaludu_lefurie.htm: null
14:21:51.746 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_cosmetic_nomoretato.htm: null
14:21:52.255 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_balduin_allinadream.htm: null
14:21:55.296 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2014_wumingcontingent_bioscop.htm: null
14:21:59.809 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_gazcoombes_matador.htm: null
14:22:00.289 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_traams_moderndancing.htm: null
14:22:04.467 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2015_thesonics_thisisthesonics.htm: null
14:22:04.692 ERROR org.phonoteke.AbstractCrawler - Error parsing page http://www.ondarock.it/pietremiliari/2013_calibro35_said.htm: null
